Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
05/01/2007,Clark County                                                ,5%,4.3%,4.3%
05/01/2007,Columbia County                                             ,5.5%,4.3%,4.3%
05/01/2007,Spokane MSA                                                 ,4.1%,4.3%,4.3%
05/01/2007,Skamania County                                             ,5.3%,4.3%,4.3%
06/01/2007,Skamania County                                             ,5.7%,4.7%,4.4%
06/01/2007,Pend Oreille County                                         ,6.1%,4.7%,4.4%
06/01/2007,Longview MSA                                                ,6%,4.7%,4.4%
06/01/2007,Pacific County                                              ,6%,4.7%,4.4%
06/01/2007,Pierce County                                               ,4.8%,4.7%,4.4%
06/01/2007,Mount Vernon-Anacortes MSA                                  ,4.6%,4.7%,4.4%
06/01/2007,Whitman County                                              ,4.7%,4.7%,4.4%
06/01/2007,Chelan County                                               ,3.9%,4.7%,4.4%
06/01/2007,Lincoln County                                              ,4.5%,4.7%,4.4%
06/01/2007,King County                                                 ,3.7%,4.7%,4.4%
06/01/2007,Douglas County                                              ,3.8%,4.7%,4.4%
06/01/2007,Stevens County                                              ,6.2%,4.7%,4.4%
06/01/2007,Jefferson County                                            ,4.6%,4.7%,4.4%
06/01/2007,Olympia MSA                                                 ,4.4%,4.7%,4.4%
06/01/2007,Grant County                                                ,4.6%,4.7%,4.4%
06/01/2007,Whatcom County                                              ,4.3%,4.7%,4.4%
06/01/2007,Spokane County                                              ,4.5%,4.7%,4.4%
06/01/2007,Mason County                                                ,5.6%,4.7%,4.4%
06/01/2007,Walla Walla County                                          ,4.5%,4.7%,4.4%
06/01/2007,Seattle-Bellevue-Everett MSA                                ,3.8%,4.7%,4.4%
06/01/2007,Cowlitz County                                              ,6%,4.7%,4.4%
06/01/2007,Island County                                               ,4.9%,4.7%,4.4%
06/01/2007,San Juan County                                             ,3%,4.7%,4.4%
06/01/2007,Wahkiakum County                                            ,5.9%,4.7%,4.4%
06/01/2007,Clark County                                                ,5.5%,4.7%,4.4%
06/01/2007,Spokane MSA                                                 ,4.5%,4.7%,4.4%
06/01/2007,Wenatchee MSA                                               ,3.9%,4.7%,4.4%
06/01/2007,Lewis County                                                ,6.4%,4.7%,4.4%
06/01/2007,Ferry County                                                ,7%,4.7%,4.4%
06/01/2007,Garfield County                                             ,4.4%,4.7%,4.4%
06/01/2007,Skagit County                                               ,4.6%,4.7%,4.4%
06/01/2007,Clallam County                                              ,5.5%,4.7%,4.4%
06/01/2007,Grays Harbor County                                         ,6.4%,4.7%,4.4%
06/01/2007,Adams County                                                ,4.5%,4.7%,4.4%
06/01/2007,Bremerton-Silverdale MSA                                    ,4.5%,4.7%,4.4%
06/01/2007,Snohomish County                                            ,4%,4.7%,4.4%
06/01/2007,Asotin County                                               ,4.8%,4.7%,4.4%
06/01/2007,Franklin County                                             ,4.9%,4.7%,4.4%
06/01/2007,Benton County                                               ,4.5%,4.7%,4.4%
06/01/2007,Klickitat County                                            ,5.9%,4.7%,4.4%
06/01/2007,Kittitas County                                             ,4.4%,4.7%,4.4%
06/01/2007,Columbia County                                             ,6%,4.7%,4.4%
06/01/2007,Kennewick-Richland-Pasco MSA                                ,4.6%,4.7%,4.4%
06/01/2007,Yakima MSA                                                  ,5.3%,4.7%,4.4%
06/01/2007,Bellingham MSA                                              ,4.3%,4.7%,4.4%
06/01/2007,Kitsap County                                               ,4.5%,4.7%,4.4%
06/01/2007,Tacoma MSA                                                  ,4.8%,4.7%,4.4%
06/01/2007,Yakima County                                               ,5.3%,4.7%,4.4%
06/01/2007,Okanogan County                                             ,5.2%,4.7%,4.4%
06/01/2007,Thurston County                                             ,4.4%,4.7%,4.4%
07/01/2007,Lewis County                                                ,6.5%,4.9%,4.4%
07/01/2007,Klickitat County                                            ,5.7%,4.9%,4.4%
07/01/2007,Pacific County                                              ,5.6%,4.9%,4.4%
07/01/2007,Yakima County                                               ,5.4%,4.9%,4.4%
07/01/2007,Pend Oreille County                                         ,6%,4.9%,4.4%
07/01/2007,Kittitas County                                             ,4.9%,4.9%,4.4%
07/01/2007,Kitsap County                                               ,4.5%,4.9%,4.4%
07/01/2007,Pierce County                                               ,4.9%,4.9%,4.4%
07/01/2007,Chelan County                                               ,3.7%,4.9%,4.4%
07/01/2007,Whitman County                                              ,5.3%,4.9%,4.4%
07/01/2007,King County                                                 ,3.5%,4.9%,4.4%
07/01/2007,Clark County                                                ,5.8%,4.9%,4.4%
07/01/2007,Clallam County                                              ,5.7%,4.9%,4.4%
07/01/2007,San Juan County                                             ,2.8%,4.9%,4.4%
07/01/2007,Jefferson County                                            ,4.6%,4.9%,4.4%
07/01/2007,Yakima MSA                                                  ,5.4%,4.9%,4.4%
07/01/2007,Island County                                               ,5.1%,4.9%,4.4%
07/01/2007,Skagit County                                               ,4.7%,4.9%,4.4%
07/01/2007,Wenatchee MSA                                               ,3.7%,4.9%,4.4%
07/01/2007,Tacoma MSA                                                  ,4.9%,4.9%,4.4%
07/01/2007,Grays Harbor County                                         ,6.3%,4.9%,4.4%
07/01/2007,Skamania County                                             ,5.9%,4.9%,4.4%
07/01/2007,Spokane MSA                                                 ,4.9%,4.9%,4.4%
07/01/2007,Grant County                                                ,4.7%,4.9%,4.4%
07/01/2007,Seattle-Bellevue-Everett MSA                                ,3.6%,4.9%,4.4%
07/01/2007,Garfield County                                             ,3.8%,4.9%,4.4%
07/01/2007,Olympia MSA                                                 ,4.4%,4.9%,4.4%
07/01/2007,Snohomish County                                            ,3.8%,4.9%,4.4%
07/01/2007,Mount Vernon-Anacortes MSA                                  ,4.7%,4.9%,4.4%
07/01/2007,Spokane County                                              ,4.9%,4.9%,4.4%
07/01/2007,Wahkiakum County                                            ,6.4%,4.9%,4.4%
07/01/2007,Franklin County                                             ,5.8%,4.9%,4.4%
07/01/2007,Longview MSA                                                ,6.2%,4.9%,4.4%
07/01/2007,Whatcom County                                              ,4.4%,4.9%,4.4%
07/01/2007,Kennewick-Richland-Pasco MSA                                ,5.3%,4.9%,4.4%
07/01/2007,Columbia County                                             ,5.9%,4.9%,4.4%
07/01/2007,Ferry County                                                ,6.6%,4.9%,4.4%
07/01/2007,Stevens County                                              ,6.2%,4.9%,4.4%
07/01/2007,Adams County                                                ,4.7%,4.9%,4.4%
07/01/2007,Bremerton-Silverdale MSA                                    ,4.5%,4.9%,4.4%
07/01/2007,Bellingham MSA                                              ,4.4%,4.9%,4.4%
07/01/2007,Douglas County                                              ,3.6%,4.9%,4.4%
07/01/2007,Cowlitz County                                              ,6.2%,4.9%,4.4%
